01,SI.POV.DDAY,SI.POV.LMIC,SI.POV.UMIC,SI.POV.RUHC,SI.POV.URHC,per_sa_allsa.cov_pop_tot,per_sa_allsa.cov_q1_tot,per_si_allsi.cov_pop_tot,per_lm_alllm.cov_pop_tot,SI.SPR.PC40.ZG,SI.DST.10TH.10,SI.DST.FRST.10,,,,,,,
02,SN.ITK.DEFC.ZS,SH.STA.WAST.MA.ZS,SH.STA.WAST.FE.ZS,SH.SVR.WAST.MA.ZS,SH.SVR.WAST.FE.ZS,SH.STA.MALN.MA.ZS,SH.STA.MALN.FE.ZS,SH.STA.STNT.MA.ZS,SH.STA.STNT.FE.ZS,SH.STA.OWGH.MA.ZS,SH.STA.OWGH.FE.ZS,SH.ANM.ALLW.ZS,AG.YLD.CREL.KG,SL.AGR.EMPL.MA.ZS,SL.AGR.EMPL.FE.ZS,EG.ELC.ACCS.RU.ZS,SH.H20.SAFE.RU.ZS,SP.RUR.TOTL.ZG,
03,SH.STA.MMRT,SH.DYN.NMRT,SH.DYN.MORT,SH.HIV.INCD.ZS,SH.HIV.ARTC.ZS,SH.HIV.PMTC.ZS,SH.TBS.DTEC.ZS,SH.MLR.INCD.P3,SH.DTH.NCOM.ZS,SH.STA.SUIC.P5,SH.IMM.IDPT,SH.IMM.MEAS,SH.ALC.PCAP.LI,SH.PRV.SMOK.MA,SH.PRV.SMOK.FE,SP.ADO.TFRT,SH.MED.CMHW.P3,SH.MED.PHYS.ZS,SH.MED.NUMW.P3
04,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA.ZS,SE.SEC.UNER.LO.FE.ZS,SE.SEC.UNER.LO.MA.ZS,SE.SEC.CUAT.UP.FE.ZS,SE.SEC.CUAT.UP.MA.ZS,SE.TER.CUAT.ST.FE.ZS,SE.TER.CUAT.ST.MA.ZS,SE.PRE.TCAQ.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.PRM.ENRL.TC.ZS,SE.SEC.ENRL.TC.ZS,SL.TLF.0714.WK.ZS,,,,,
05,SL.FAM.WORK.FE.ZS,SP.HOU.FEMA.ZS,IC.FRM.FEMO.ZS,IC.FRM.FEMM.ZS,SG.LAW.EQRM.WK,SG.LAW.NODC.HR,SG.LAW.CHMR,SG.LEG.DVAW,SG.NOD.CONS,SG.GEN.PARL.ZS,SG.VAW.1549.ZS,SG.DMK.ALLD.FN.ZS,SG.VAW.REAS.ZS,SH.STA.FGMS.ZS,SP.M18.2024.FE.ZS,WP_time_10.3,SH.STA.ANVC.ZS,SH.STA.BRTC.ZS,SP.DYN.CONM.ZS
06,SH.STA.ODFC.ZS,SH.STA.ODFC.RU.ZS,SH.STA.ODFC.UR.ZS,SH.H2O.BASW.ZS,SH.H2O.BASW.RU.ZS,SH.H20.BASW.UR.ZS,SH.STA.BASS.ZS,SH.STA.BASS.RU.ZS,SH.STA.BASS.UR.ZS,SH.H20.SMDW.ZS,SH.H20.SMDW.RU.ZS,SH.H20.SMDW.UR.ZS,SH.STA.SMSS.ZS,SH.STA.SMSS.RU.ZS,SH.STA.SMSS.UR.ZS,,,,
07,EG.ELC.ACCS.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,EG.CFT.ACCS.ZS,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS,EG.USE.COMM.FO.ZS,EG.ELC.FOSL.ZS,,,,,,,,,,,
08,WP_time_10.8,WP_time_10.9,WP_time_10.5,WP_time_10.6,NY.GNP.PCAP.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.GDP.PCAP.KD.ZG,NE.CON.PRVT.PC.KD.ZG,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.1524.FE.ZS,SL.UEM.1524.MA.ZS,,,,,,,
09,GB.XPD.RSDV.GD.ZS,IE.PPI.ICTI.CD,IE.PPI.ENGY.CD,IE.PPI.TELE.CD,IE.PPI.TRAN.CD,IE.PPI.WATER.CD,IT.NET.USER.ZS,BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
12,NY.GDP.TOTL.RT.ZS,NY.GDP.COAL.RT.ZS,NY.GDP.FRST.RT.ZS,NY.GDP.MINR.RT.ZS,NY.GDP.NGAS.RT.ZS,NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,ER.MRN.PTMR.ZS,,,,,,,,,,,,,,,,,,
15,ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,
